storeNumber,area,description,type,paymeKassaId,sortKey
1/1,14.96,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b29,1
1/3,14.96,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b30,2
1/4,14.96,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b31,3
1/7,14.96,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b32,4
1/8,14.96,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b33,5
1/9,14.96,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b34,6
1/13,14.96,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b35,7
1/15,14.96,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b36,8
2/9,14.96,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b37,9
2/16,14.96,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b38,10
3/13,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b39,11
3/14,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b40,12
3/21,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b41,13
4/12,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b42,14
4/14,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b43,15
4/16,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b44,16
4/17,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b45,17
4/24,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b46,18
5/2,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b47,19
5/3,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b48,20
5/7,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b49,21
5/9,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b50,22
5/18,13.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b51,23
5/24,16.75,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b52,24
6/1,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b53,25
6/16,9.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b54,26
6/16a,9.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b55,27
6/17,9.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b56,28
6/18,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b57,29
6/19,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b58,30
6/20,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b59,31
6/22,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b60,32
6/23,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b61,33
6/24,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b62,34
6/25,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b63,35
6/26,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b64,36
6/27,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b65,37
6/28,9.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b66,38
6/29,9.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b67,39
7/1,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b68,40
7/2,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b69,41
7/3,9.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b70,42
7/6,9.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b71,43
7/7,9.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b72,44
7/8,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b73,45
7/9,9.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b74,46
7/10,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b75,47
7/11,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b76,48
7/12,9.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b77,49
7/13,9.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b78,50
7/13a,9.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b79,51
7/14,9.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b80,52
7/16,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b81,53
7/16a,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b82,54
7/17,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b83,55
7/18,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b84,56
7/19,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b85,57
7/20,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b86,58
7/21,4.6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b87,59
8/1,13.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b88,60
8/3,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b89,61
8/4,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b90,62
8/6,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b91,63
8/9,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b92,64
9/1,15.8,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b93,65
9/2,15.8,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b94,66
9/3,15.8,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b95,67
9/6,15.8,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b96,68
9/7,15.8,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b97,69
9/10,15.8,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b98,70
